date,open,high,low,close
2016/7/11,15375.94,15816.67,15375.94,15708.82
2016/7/8,15326.84,15399.7,15106.52,15106.98
2016/7/7,15346.81,15418.9,15241.91,15276.24
2016/7/6,15434.46,15434.46,15167.98,15378.99
2016/7/5,15682.16,15702.04,15602.73,15669.33
2016/7/4,15554.04,15805.31,15553.92,15775.8
2016/7/1,15698.02,15765,15635.57,15682.48
2016/6/30,15752.71,15781.69,15575.92,15575.92
2016/6/29,15523.35,15626.66,15398.31,15566.83
2016/6/28,15094.71,15443.82,14987.79,15323.14
2016/6/27,15153.08,15323.95,15061.66,15309.21
2016/6/24,16333.87,16389.17,14864.01,14952.02
2016/6/23,16098.61,16263.87,16057.86,16238.35
2016/6/22,16095.81,16160.99,15980.65,16065.72
2016/6/21,15875.81,16202.3,15770.96,16169.11
2016/6/20,15839.06,16035.44,15835.86,15965.3
2016/6/17,15631.79,15774.87,15582.94,15599.66
2016/6/16,15871.22,15913.08,15395.98,15434.14
2016/6/15,15799.07,15997.3,15752.01,15919.58
2016/6/14,16001.19,16082.5,15762.09,15859
2016/6/13,16319.11,16335.38,16019.18,16019.18
2016/6/10,16637.51,16643.36,16496.11,16601.36
2016/6/9,16742.03,16785.83,16587.77,16668.41
2016/6/8,16722.49,16830.92,16581.71,16830.92
2016/6/7,16651.05,16701.01,16536.23,16675.45
2016/6/6,16373.32,16581.3,16322.64,16580.03
2016/6/3,16599.51,16716.14,16554.6,16642.23
2016/6/2,16817.26,16819.85,16525.47,16562.55
2016/6/1,17097.22,17145.95,16908.92,16955.73
2016/5/31,17029.46,17251.36,16988.64,17234.98
2016/5/30,16973.72,17068.02,16910.19,17068.02
2016/5/27,16830.5,16901.09,16792.73,16834.84
2016/5/26,16927.69,16957.56,16743.17,16772.46
2016/5/25,16764.35,16806.03,16731.12,16757.35
2016/5/24,16605.04,16605.04,16471.37,16498.76
2016/5/23,16671.28,16691.5,16417.84,16654.6
2016/5/20,16594.99,16770.87,16548.34,16736.35
2016/5/19,16807.46,16841.04,16590.16,16646.66
2016/5/18,16611.4,16795.47,16513.17,16644.69
2016/5/17,16618.95,16655.89,16509.31,16652.8
2016/5/16,16391.92,16632.62,16391.92,16466.4
2016/5/13,16804.17,16804.17,16400.87,16412.21
2016/5/12,16459.69,16658.07,16374.59,16646.34
2016/5/11,16736.72,16814.64,16536.61,16579.01
2016/5/10,16307.5,16587.63,16229.15,16565.19
2016/5/9,16226.57,16292.86,16159.31,16216.03
2016/5/6,16212.67,16271.61,15989.35,16106.72
2016/5/2,16357.1,16357.1,15975.47,16147.38
